proposed_sku,proposed_name,existing_sku,existing_name,existing_brand,note
DARYAL-DARYAL-TARHUN-500-GLASS,"Дарьял Тархун газированная, 0,5 л, стекло",BAVARIA-BAVARIYA-PREMIUM-TARHUN-500-GLASS,"Напиток газированный Бавария Premium Тархун, 0,5 л, стекло",Бавария,"same flavor word, different brand — not a SKU collision"
DARYAL-DARYAL-GRUSHA-500-GLASS,"Дарьял Груша газированная, 0,5 л, стекло",BAVARIA-BAVARIYA-PREMIUM-GRUSHA-500-GLASS,"Напиток газированный Бавария Premium Груша, 0,5 л, стекло",Бавария,"same flavor word, different brand — not a SKU collision"
DARYAL-DARYAL-MOHITO-500-GLASS,"Дарьял Мохито газированная, 0,5 л, стекло",BAVARIA-BAVARIYA-MOHITO-450-GLASS,"Напиток газированный Бавария Мохито, 0,45 л, стекло",Бавария,"same flavor word, different brand — not a SKU collision"
DARYAL-DARYAL-GRANAT-500-GLASS,"Дарьял Гранат газированная, 0,5 л, стекло",BAVARIA-BAVARIYA-PREMIUM-GRANAT-500-GLASS,"Напиток газированный Бавария Premium Гранат, 0,5 л, стекло",Бавария,"same flavor word, different brand — not a SKU collision"
DARYAL-DARYAL-APELSIN-500-PET,"Дарьял Апельсин газированная, 0,5 л, ПЭТ",BAVARIA-BAVARIYA-PREMIUM-APELSIN-500-GLASS,"Напиток газированный Бавария Premium Апельсин, 0,5 л, стекло",Бавария,"same flavor word, different brand — not a SKU collision"
DARYAL-DARYAL-TARHUN-500-PET,"Дарьял Тархун газированная, 0,5 л, ПЭТ",BAVARIA-BAVARIYA-PREMIUM-TARHUN-500-GLASS,"Напиток газированный Бавария Premium Тархун, 0,5 л, стекло",Бавария,"same flavor word, different brand — not a SKU collision"
DARYAL-DARYAL-GRUSHA-500-PET,"Дарьял Груша газированная, 0,5 л, ПЭТ",BAVARIA-BAVARIYA-PREMIUM-GRUSHA-500-GLASS,"Напиток газированный Бавария Premium Груша, 0,5 л, стекло",Бавария,"same flavor word, different brand — not a SKU collision"
DARYAL-DARYAL-MOHITO-500-PET,"Дарьял Мохито газированная, 0,5 л, ПЭТ",BAVARIA-BAVARIYA-MOHITO-450-GLASS,"Напиток газированный Бавария Мохито, 0,45 л, стекло",Бавария,"same flavor word, different brand — not a SKU collision"
DARYAL-DARYAL-APELSIN-1500-PET,"Дарьял Апельсин газированная, 1,5 л, ПЭТ",BAVARIA-BAVARIYA-PREMIUM-APELSIN-500-GLASS,"Напиток газированный Бавария Premium Апельсин, 0,5 л, стекло",Бавария,"same flavor word, different brand — not a SKU collision"
DARYAL-DARYAL-TARHUN-1500-PET,"Дарьял Тархун газированная, 1,5 л, ПЭТ",BAVARIA-BAVARIYA-PREMIUM-TARHUN-500-GLASS,"Напиток газированный Бавария Premium Тархун, 0,5 л, стекло",Бавария,"same flavor word, different brand — not a SKU collision"
DARYAL-DARYAL-GRUSHA-1500-PET,"Дарьял Груша газированная, 1,5 л, ПЭТ",BAVARIA-BAVARIYA-PREMIUM-GRUSHA-500-GLASS,"Напиток газированный Бавария Premium Груша, 0,5 л, стекло",Бавария,"same flavor word, different brand — not a SKU collision"
