official_name,brand,source_url,reason,evidence,suggested_action
«Аварал»,Аварал,https://www.bavaria-group.ru/beer-product/avaral,Нельзя надёжно определить алкогольный статус,Недостаточно данных для надёжного определения крепости,Проверить карточку/этикетку вручную; не импортировать автоматически
Безалкогольный сильногазированный напиток «Dreamix»,Dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,Вкус не подписан в карточке (изображение 98),Пустой title у slider item,Задать официальное название вкуса перед apply
Безалкогольный сильногазированный напиток «Dreamix»,Dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,Вкус не подписан в карточке (изображение 100),Пустой title у slider item,Задать официальное название вкуса перед apply
Безалкогольный сильногазированный напиток «Dreamix»,Dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,Вкус не подписан в карточке (изображение 101),Пустой title у slider item,Задать официальное название вкуса перед apply
Безалкогольный сильногазированный напиток «Dreamix»,Dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,Вкус не подписан в карточке (изображение 102),Пустой title у slider item,Задать официальное название вкуса перед apply
«Cola Limited Edition»,Cola Limited Edition,https://www.bavaria-group.ru/beer-product/cola-limited-edition,Нельзя надёжно определить алкогольный статус,Недостаточно данных для надёжного определения крепости,Проверить карточку/этикетку вручную; не импортировать автоматически
«Cola Limited Edition»,Cola Limited Edition,https://www.bavaria-group.ru/beer-product/kola-limited-edition-2,Нельзя надёжно определить алкогольный статус,Недостаточно данных для надёжного определения крепости,Проверить карточку/этикетку вручную; не импортировать автоматически
Nordisch bier,Бавария,https://www.bavaria-group.ru/beer-product/nordisch-bier,Нельзя надёжно определить алкогольный статус,"Пивной/сидровый контекст без явного «безалкогольное»/0,0%/≤0,5% об.",Проверить карточку/этикетку вручную; не импортировать автоматически
"Напиток газированный Бавария Сладкий сильногазированный напиток «Родные Огоньки» газированная, 0,45 л, стекло",Бавария,https://www.bavaria-group.ru/beer-product/sladkij-silnogazirovannyj-napitok-cajka,Конфликт SKU BAVARIA-BAVARIYA-SLADKIY-SILNOGAZIROVANNYY-N-450-GLASS,бавария|сладкий сильногазированный напиток «родные огоньки»|450|glass|газированная|,Разрешить коллизию SKU вручную
"Напиток газированный Бавария Сладкий сильногазированный напиток «Родные Огоньки» газированная, 0,5 л, ПЭТ",Бавария,https://www.bavaria-group.ru/beer-product/sladkij-silnogazirovannyj-napitok-cajka,Конфликт SKU BAVARIA-BAVARIYA-SLADKIY-SILNOGAZIROVANNYY-NAP-500-PET,бавария|сладкий сильногазированный напиток «родные огоньки»|500|pet|газированная|,Разрешить коллизию SKU вручную
"Напиток газированный Бавария Сладкий сильногазированный напиток «Заповедная Тайга» газированная, 0,45 л, стекло",Бавария,https://www.bavaria-group.ru/beer-product/sladkij-silnogazirovannyj-napitok-cajka,Конфликт SKU BAVARIA-BAVARIYA-SLADKIY-SILNOGAZIROVANNYY-N-450-GLASS,бавария|сладкий сильногазированный напиток «заповедная тайга»|450|glass|газированная|,Разрешить коллизию SKU вручную
