official_name,brand,source_url,reason,evidence,suggested_action,review_status
Nordisch Bier безалкогольное,Nordisch Bier,https://www.bavaria-group.ru/beer-product/nordisch-bier,"Безалкогольный статус и 0,45 л подтверждены PDF; тип тары (банка/стекло) требует визуальной проверки иконки на странице безалкогольного пива",БУКЛЕТ БАВАРИЯ 2026.pdf p.NA-beer-section; 0% алк.; не переносить фасовки с алкогольной страницы Nordisch,Открыть страницу безалкогольного пива и подтвердить банку или стекло → создать SKU,MANUAL_REVIEW
"Бавария Premium / Апельсин / ПЭТ 1,2 л",Бавария,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,"Вкус есть в PDF Premium, но сочетание вкус×тара не подтверждено assortment сайта и не проверено визуально по PDF",БУКЛЕТ БАВАРИЯ 2026.pdf p.Premium-section; PDF taste list p.Premium-section; PDF packs glass0.5/PET1.2 p.Premium-section; taste×pack not on website assortment for this pack; need PDF visual of that SKU,Визуально подтвердить упаковку этого вкуса в буклете,MANUAL_REVIEW
"Бавария Premium / Виноград / стекло 0,5 л",Бавария,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,"Вкус есть в PDF Premium, но сочетание вкус×тара не подтверждено assortment сайта и не проверено визуально по PDF",БУКЛЕТ БАВАРИЯ 2026.pdf p.Premium-section; PDF taste list p.Premium-section; PDF packs glass0.5/PET1.2 p.Premium-section; taste×pack not on website assortment for this pack; need PDF visual of that SKU,Визуально подтвердить упаковку этого вкуса в буклете,MANUAL_REVIEW
"Бавария Premium / Виноград / ПЭТ 1,2 л",Бавария,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,"Вкус есть в PDF Premium, но сочетание вкус×тара не подтверждено assortment сайта и не проверено визуально по PDF",БУКЛЕТ БАВАРИЯ 2026.pdf p.Premium-section; PDF taste list p.Premium-section; PDF packs glass0.5/PET1.2 p.Premium-section; taste×pack not on website assortment for this pack; need PDF visual of that SKU,Визуально подтвердить упаковку этого вкуса в буклете,MANUAL_REVIEW
Бавария газированная / Тархун / стекло 450,Бавария,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,Вкус/фасовка из PDF-списка без подтверждённой комбинации вкус×тара,БУКЛЕТ БАВАРИЯ 2026.pdf; website assortment incomplete for this combo,Подтвердить визуально в буклете,MANUAL_REVIEW
Бавария газированная / Груша / стекло 450,Бавария,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,Вкус/фасовка из PDF-списка без подтверждённой комбинации вкус×тара,БУКЛЕТ БАВАРИЯ 2026.pdf; website assortment incomplete for this combo,Подтвердить визуально в буклете,MANUAL_REVIEW
Бавария газированная / Питахайя / стекло 450,Бавария,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,Вкус/фасовка из PDF-списка без подтверждённой комбинации вкус×тара,БУКЛЕТ БАВАРИЯ 2026.pdf; website assortment incomplete for this combo,Подтвердить визуально в буклете,MANUAL_REVIEW
Бавария газированная / Апельсин / стекло 450,Бавария,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,Вкус/фасовка из PDF-списка без подтверждённой комбинации вкус×тара,БУКЛЕТ БАВАРИЯ 2026.pdf; website assortment incomplete for this combo,Подтвердить визуально в буклете,MANUAL_REVIEW
Бавария газированная / Кола / стекло 450,Бавария,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,Вкус/фасовка из PDF-списка без подтверждённой комбинации вкус×тара,БУКЛЕТ БАВАРИЯ 2026.pdf; website assortment incomplete for this combo,Подтвердить визуально в буклете,MANUAL_REVIEW
Бавария газированная / Мохито / стекло 450,Бавария,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,Вкус/фасовка из PDF-списка без подтверждённой комбинации вкус×тара,БУКЛЕТ БАВАРИЯ 2026.pdf; website assortment incomplete for this combo,Подтвердить визуально в буклете,MANUAL_REVIEW
